Site,Treatment,Latitude,Longitude,In situ max temp,Survival
SA2,,58.279,8.532,19.373,5
SA4,Recipient,58.312,8.575,19.276,10
S3,Source,58.397,8.743,19.79,35
S17,Recipient,58.421,8.772,NA,NA
S7,,58.521,8.931,19.927,45
S8,Source,58.512,8.937,20.214,80
S5,Recipient,58.505,8.895,20.03,42.5
S13,,58.423,8.757,19.29,25
HB7,,58.254,8.523,20.04,20
